product_id,order_count,sales
bb50f2e236e5eea0100680137654686c,195,63885.0
6cdd53843498f92890544667809f1595,156,54730.2
d6160fb7873f184099d9bc95e30376af,35,48899.34
d1c427060a0f73f6b889a5c7c61f2ac4,343,47214.51
99a4788cb24856965c36a24e339b6058,488,43025.56
3dd2a17168ec895c781a9191c1e95ad7,274,41082.6
25c38557cf793876c5abdd5931f922db,38,38907.32
5f504b3a1c75b73d6151be81eb05bdc9,63,37733.9
53b36df67ebb7c41585e8d54d6772e08,323,37683.42
aca2eb7d00ea1a7b8ebd4e68314663af,527,37608.9
e0d64dcfaa3b6db5c54ca298ae101d05,194,31786.82
d285360f29ac7fd97640bf0baef03de0,123,31623.81
7a10781637204d8d10485c71a6108a2e,143,30467.5
f1c7f353075ce59d8a6f3cf58f419c9c,154,29997.36
f819f0c84a64f02d3a5606ca95edd272,45,29024.48
588531f8ec37e7d5ff5b7b22ea0488f8,20,28291.99
422879e10f46682990de24d770e7f83d,484,26577.22
16c4e87b98a9370a9cbc3a4658a3f45b,13,25034.0
5a848e4ab52fd5445cdc07aab1c40e48,197,24229.03
a62e25e09e05e6faf31d90c6ec1aa3d1,226,24051.0
