product_id,Sales,Orders
bb50f2e236e5eea0100680137654686c,63885.0,195
6cdd53843498f92890544667809f1595,54730.2,156
d6160fb7873f184099d9bc95e30376af,48899.340000000004,35
d1c427060a0f73f6b889a5c7c61f2ac4,47214.51,343
99a4788cb24856965c36a24e339b6058,43025.560000000005,488
3dd2a17168ec895c781a9191c1e95ad7,41082.6,274
25c38557cf793876c5abdd5931f922db,38907.32,38
5f504b3a1c75b73d6151be81eb05bdc9,37733.9,63
53b36df67ebb7c41585e8d54d6772e08,37683.42,323
aca2eb7d00ea1a7b8ebd4e68314663af,37608.9,527
e0d64dcfaa3b6db5c54ca298ae101d05,31786.82,194
d285360f29ac7fd97640bf0baef03de0,31623.81,123
7a10781637204d8d10485c71a6108a2e,30467.5,143
f1c7f353075ce59d8a6f3cf58f419c9c,29997.36,154
f819f0c84a64f02d3a5606ca95edd272,29024.48,45
588531f8ec37e7d5ff5b7b22ea0488f8,28291.99,20
422879e10f46682990de24d770e7f83d,26577.22,484
16c4e87b98a9370a9cbc3a4658a3f45b,25034.0,13
5a848e4ab52fd5445cdc07aab1c40e48,24229.03,197
a62e25e09e05e6faf31d90c6ec1aa3d1,24051.0,226
